,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
t5,1356.944,1409.884,603.903,2058.174,3442.438,3703.442,1101.819,2044.455,0,0,0,0,0,0,0
t6,1407.563,1465.176,632.164,2135.811,3537.056,3858.741,1133.369,2106.152,0,0,0,0,0,0,0
t7,1512.85,1562.166,679.151,2295.095,3755.803,4131.659,1209.829,2230.49,0,0,0,0,0,0,0
t8,1625.439,1697.707,724.663,2488.021,4037.906,4465.344,1309.96,2408.823,0,0,0,0,0,0,0
t9,1708.455,1801.44,729.226,2623.599,4246.941,4751.214,1406.916,2571.565,0,0,0,0,0,0,0
t10,1737.313,1851.758,700.321,2736.008,4409.254,5022.493,1481.733,2706.252,0,0,0,0,0,0,0
t11,1766.597,1865.325,626.858,2847.041,4605.387,5264.913,1543.145,2820.973,0,0,0,0,0,0,0
t12,1756.24,1875.298,620.985,2881.786,4688.089,5392.742,1584.726,2920.269,0,0,0,0,0,0,0
t13,1742.691,1870.985,610.51,2923.914,4721.061,5436.605,1599.596,2978.567,0,0,0,0,0,0,0
t14,1752.785,1883.214,594.985,2932.179,4725.416,5394.484,1612.846,3002.548,0,0,0,0,0,0,0
t15,1732.612,1868.084,571.868,2829.515,4739.02,5242.998,1599.081,2972.408,0,0,0,0,0,0,0
t16,1721.704,1924.345,593.657,2843.533,4667.044,5100.449,1563.653,2944.576,0,0,0,0,0,0,0
t17,1753.935,1999.088,618.277,2911.278,4712.858,5280.555,1539.675,2953.244,0,0,0,0,0,0,0
t18,1785.492,2009.549,670.297,2982.219,4802.647,5416.385,1549.406,2990.715,0,0,0,0,0,0,0
t19,1762.851,1978.459,729.083,2898.336,4705.183,5430.121,1541.767,3003.414,0,0,0,0,0,0,0
t20,1728.098,1913.614,757.025,2786.857,4539.261,5268.495,1491.829,2925.008,0,0,0,0,0,0,0
t21,1670.852,1846.994,747.96,2697.574,4271.832,5008.272,1454.341,2821.535,0,0,0,0,0,0,0
t22,1606.66,1734.837,724.902,2571.042,4056.206,4725.065,1385.851,2666.772,0,0,0,0,0,0,0
t23,1457.43,1564.937,668.555,2365.166,3772.301,4301.231,1275.076,2434.014,0,0,0,0,0,0,0
t24,1348.971,1400.752,611.862,2161.193,3445.512,3896.328,1157.278,2199.818,0,0,0,0,0,0,0
1,1041.51,964.51,456.875,1404.146,2109.94,2443.98,698.005,1259.163,0,0,0,0,0,0,0
2,971.898,915.349,436.863,1330.642,1997.195,2289.469,654.66,1182.838,0,0,0,0,0,0,0
3,947.068,883.354,426.452,1286.502,1914.544,2187.936,625.649,1133.31,0,0,0,0,0,0,0
4,940.831,867.932,425.035,1261.104,1879.903,2131.705,608.495,1105.055,0,0,0,0,0,0,0
5,946.363,867.939,425.702,1255.462,1870.556,2109.187,603.122,1095.711,0,0,0,0,0,0,0
6,963.979,876.501,429.564,1247.088,1861.945,2097.068,594.064,1089.945,0,0,0,0,0,0,0
7,1017.276,917.189,421.188,1279.376,1909.611,2143.678,614.995,1108.677,0,0,0,0,0,0,0
8,1097.337,989.94,384.211,1295.243,1996.534,2251.049,655.503,1141.931,0,0,0,0,0,0,0
9,1171.2,1069.871,319.381,1310.834,2096.151,2377.672,706.312,1185.489,0,0,0,0,0,0,0
10,1211.839,1127.419,256.414,1317.292,2164.589,2448.427,755.609,1214.667,0,0,0,0,0,0,0
